name	description	type	level	price	bulk	capacity	usage	hands	source	source_page
Emergency Beacon	<p>When activated, this small, pod-shaped device emits a bright red flash from a dome on its top once every 6 seconds, using 1 charge per day. The emergency beacon also transmits its location. Any device capable of receiving signals of any sort can pick up an emergency beacon’s signal, which can then be tracked back to the source with a successful DC 15 Engineering or Survival check. An emergency beacon’s transmissions have a range of 100 miles over flat terrain, but this range is halved in forests or hills and quartered in mountainous terrain and underwater. Alternatively, an emergency beacon can be hooked up to a starship or vehicle’s communications system, in which case its usage increases to 1 charge per hour and its range matches that of the communications array of the vehicle or starship.</p>	Tech	1	100	L	20	Varies	null	ARM	102
Emergency Raft, Basic	<p>Emergency rafts are stored in compressed cylinders with large fans that can inflate the rafts in mere moments.</p>	Tech	1	350	3	20	1/use	null	ARM	102
Environmental Field Collar, Huge Or Larger	<p>Environmental field collars, or EF collars, are a common form of protection for creature companions that accompany their owners into dangerous situations. These simple bands, often affixed to a neck or limb, automatically activate in hazardous environs, generating an environmental field around a creature companion of a particular size. This field provides the same environmental protections as a suit of armor, except that the duration of these protections is based on the collar’s battery usage rather than its item level. As a full action, you can affix an EF collar to (or remove one from) an adjacent creature companion, either yours or a willing or unconscious ally’s. While worn, the bulk of the collar does not count as bulk carried.</p>	Tech	1	300	3	10	1/day	null	AA3	147
Environmental Field Collar, Large	<p>Environmental field collars, or EF collars, are a common form of protection for creature companions that accompany their owners into dangerous situations. These simple bands, often affixed to a neck or limb, automatically activate in hazardous environs, generating an environmental field around a creature companion of a particular size. This field provides the same environmental protections as a suit of armor, except that the duration of these protections is based on the collar’s battery usage rather than its item level. As a full action, you can affix an EF collar to (or remove one from) an adjacent creature companion, either yours or a willing or unconscious ally’s. While worn, the bulk of the collar does not count as bulk carried.</p>	Tech	1	75	1	10	1/day	null	AA3	147
Environmental Field Collar, Medium	<p>Environmental field collars, or EF collars, are a common form of protection for creature companions that accompany their owners into dangerous situations. These simple bands, often affixed to a neck or limb, automatically activate in hazardous environs, generating an environmental field around a creature companion of a particular size. This field provides the same environmental protections as a suit of armor, except that the duration of these protections is based on the collar’s battery usage rather than its item level. As a full action, you can affix an EF collar to (or remove one from) an adjacent creature companion, either yours or a willing or unconscious ally’s. While worn, the bulk of the collar does not count as bulk carried.</p>	Tech	1	25	L	10	1/day	null	AA3	147
Environmental Field Collar, Small Or Smaller	<p>Environmental field collars, or EF collars, are a common form of protection for creature companions that accompany their owners into dangerous situations. These simple bands, often affixed to a neck or limb, automatically activate in hazardous environs, generating an environmental field around a creature companion of a particular size. This field provides the same environmental protections as a suit of armor, except that the duration of these protections is based on the collar’s battery usage rather than its item level. As a full action, you can affix an EF collar to (or remove one from) an adjacent creature companion, either yours or a willing or unconscious ally’s. While worn, the bulk of the collar does not count as bulk carried.</p>	Tech	1	10	null	10	1/day	null	AA3	147
Fire Extinguisher	<p>As a standard action, you can deploy a fire extinguisher to end a burn effect on any one creature or object of Medium or smaller size. Extinguishing a Large creature or object takes 2 rounds, and the number of rounds required doubles with each size category beyond Large. A fire extinguisher can function for 20 rounds (which need not be consecutive) and can be recharged for 10% of the purchase price.</p>	Tech	1	15	L	20	1/round	1	CRB	218
Formation Boots	<p>Fairly standard issue to the Suskillon Defense Forces and sold to military organizations in other systems, these pressuresensitive gel boots fit beneath normal armor and can also be worn separately. It takes 2 hours of walking in them before the wearer gains their benefit, but after that time, they conform to the wearer’s feet and provide a +2 bonus to Constitution saves to avoid taking damage from a forced march.</p>	Tech	1	100	L	null	null	null	A!01	44
Geckopad Gloves	<p>These subtle yet stylish black gloves have fingers tipped in a complex microscopic texture that mimics the setae of a gecko’s foot pads, allowing you to adhere to most small objects with ease. When you wear a pair of geckopad gloves, you gain a +2 circumstance bonus to Sleight of Hand checks to palm an object, and you reduce the DC of Sleight of Hand checks to pick pockets by 5. You must be wearing both gloves to gain their benefits, but they don’t prevent you from holding other objects or wielding weapons with those hands. Geckopad gloves don’t require a battery to function.</p>	Tech	1	325	1	null	null	null	DF03	52
Grenade Scrambler, Mk 1	<p>When activated as a move action, this unit emits a wireless signal that interferes with the detonation sequence of grenades within 30 feet. Grenades that would successfully land at an intersection in the area have a 50% chance to miss, and any grenade that targets an intersection in the area and misses lands 1d6 squares away (instead of 1d4). A grenade scrambler affects only grenades whose item level is equal to or lower than its own level. If an affected grenade’s level is at least 5 levels lower than the grenade scrambler’s, it automatically misses. </p>	Tech	1	250	1	20	5/round	null	ARM	103
Habitat Box	<p>A habitat box is a powered container used to store small creatures or plant samples. Habitat boxes are typically used by explorers and naturalists to preserve samples, but couriers and smugglers also find them useful. The box has an adjustable temperature and humidity to keep the interior at a consistent environment, and food and water dispensers can sustain creatures stored within for as long as the box has power. The standard habitat box is a cube 2 feet square, although interior dividers allow you subdivide the box into several smaller compartments, each with their own isolated environment.</p>	Tech	1	375	4	20	1/day	null	ARM	104
Holographic Sashimono	<p>This lightweight, shoulder-mounted hologram projector displays the image of a banner or crest in the air above and slightly behind you. Some use these to broadcast their beliefs, while others employ them as personal advertisements. Most holographic sashimonos display images up to 2 feet wide and 3 feet tall, and these images can be programmed to be static (such as a military insignia) or short looping animations (such as roaring flames). A holographic sashimono grants you a +2 insight bonus to Profession checks to earn a living.</p>	Tech	1	300	L	20	1/hour	null	ARM	104
Laser Drill	<p>A laser drill is a handheld item that resembles a snub-nosed pistol. As a standard action, you can use the drill to create a hole 1 inch in diameter and 1 inch deep in stationary and unattended materials with a hardness of 15 or less, such as concrete, plastic, or wood. At the GM’s discretion, you might be able to use a laser drill on harder materials as a full action or longer. Detecting a laser drill at work requires a successful DC 15 Perception check. A laser drill isn’t generally useful in combat, but it can deal 1 fire damage with a successful melee attack as an improvised weapon.</p>	Tech	1	200	L	20	1/minute	1	ARM	105
Locks, Simple	<p>Locks are extremely advanced reusable devices, able to secure any fastening or closure by bonding with its surface and then holding fast. Locks usually open with a code, security chip, or voice command. Successful Engineering checks can disable locks. Locks come in four levels of quality— simple, average, good, and superior—which determine the DC of Engineering checks to open them without the proper key or code. A lock takes two hands to secure or open with a security chip. For more information on locks, including the Engineering DCs to open them, see the Engineering skill on page 141.</p>	Tech	1	100	L	null	null	2	CRB	220
Medical Gear, Basic Medkit	<p>Medical gear allows you to attempt Medicine checks and determines the DC of Medicine checks to treat deadly wounds. See the Medicine skill on page 143 for more information.</p>	Tech	1	100	1	null	null	2	CRB	220
Medical Gear, Medpatch	<p>Medical gear allows you to attempt Medicine checks and determines the DC of Medicine checks to treat deadly wounds. See the Medicine skill on page 143 for more information.</p>	Tech	1	50	L	1	1	1	CRB	220
Micro Tap, Mk 1	<p><table> <tr><th>MODEL</th><th>LEVEL</th><th>PRICE</th><th>INSTALLATION DC</th><th>RANGE</th></tr> <tr><td>Mk 1</td><td>1</td><td>200</td><td>18</td><td>300 ft.</td></tr> <tr><td>Mk 2</td><td>3</td><td>400</td><td>22</td><td>1,200 ft.</td></tr> <tr><td>Mk 3</td><td>5</td><td>750</td><td>30</td><td>Global</td></tr></table> A micro tap is a compact copper disk roughly the size of a fingernail. A micro tap can be installed into a comm unit or datapad to intercept both incoming and outgoing audio or digital communication. The micro tap is used in tandem with a receiving datapad that downloads intercepted data as audio or text files, which are then stored on the receiving datapad’s hard drive. Installing a micro tap into a datapad or comm unit requires a successful Engineering check and 10 minutes of work. The level, installation DC, price, and range at which the intercepted data can be downloaded vary depending on the micro tap’s mark (see above). Failing the Engineering check to install a micro tap by 10 or more destroys the tap. At the GM’s discretion, it might also damage the comm unit or datapad that is being tapped.</p>	Tech	1	200	null	null	null	null	DF03	53
Musical Instrument, Basic	<p>Musical instruments are popular throughout the galaxy and come in a dizzying array of styles, such as autohorns, electro- synth keyboards, monofilament guitars, and psychoactive wave plates. All but the most traditional and classical instruments use modern technology to amplify their sound, provide musical accompaniment, or connect wirelessly to other instruments in a band or orchestra. </p>	Tech	1	100	Varies	20	1/10 minutes	Varies	ARM	105
Nanite Patch, Mk 1	<p>As a standard action, you can place a nanite patch onto yourself (if you are a construct), an adjacent construct, or a piece of technological equipment you or an adjacent creature are carrying; this restores a number of Hit Points to you or that creature or object based on the patch’s model. <table> <tr><th>MODEL</th><th>LEVEL</th><th>PRICE</th><th>HP RESTORED</th></tr> <tr><td>Mk 1</td><td>1</td><td>50</td><td>1d6</td></tr> <tr><td>Mk 2</td><td>5</td><td>425</td><td>3d6</td></tr> <tr><td>Mk 3</td><td>9</td><td>1,950</td><td>6d6</td></tr> </table></p>	Tech	1	50	L	null	null	null	AA3	89
Oxygen Candle	<p>Included in almost every emergency kit scattered around Absalom Station’s corridors, oxygen candles are chemical oxygen generators that smolder when ignited. When used in an enclosed space measuring 10 cubic feet, an oxygen candle releases enough oxygen for a single Medium creature to breathe for 10 hours (as opposed to 6 hours) or a Small creature to breathe for 20 hours. The candle provides proportionally more or less oxygen in smaller or larger enclosed spaces respectively. Additional creatures proportionally reduce the time the oxygen lasts. An oxygen candle is consumed upon use.</p>	Tech	1	20	L	null	null	1	PWD	199
Portable Light, Beacon	<p>A portable light, sometimes called an electric torch, is one of several different devices that use batteries to create light sources. A portable light increases the light level by one step in an area determined by its model, as follows: flashlight (20- foot cone), lantern (10-foot radius), beacon (50-foot radius), and spotlight (100-foot cone).</p>	Tech	1	25	1	10	1/hour	2	CRB	220
Portable Light, Flashlight	<p>A portable light, sometimes called an electric torch, is one of several different devices that use batteries to create light sources. A portable light increases the light level by one step in an area determined by its model, as follows: flashlight (20- foot cone), lantern (10-foot radius), beacon (50-foot radius), and spotlight (100-foot cone).</p>	Tech	1	1	L	10	1/hour	1	CRB	220
Portable Light, Lantern	<p>A portable light, sometimes called an electric torch, is one of several different devices that use batteries to create light sources. A portable light increases the light level by one step in an area determined by its model, as follows: flashlight (20- foot cone), lantern (10-foot radius), beacon (50-foot radius), and spotlight (100-foot cone).</p>	Tech	1	1	L	10	1/hour	1	CRB	220
Portable Light, Spotlight	<p>A portable light, sometimes called an electric torch, is one of several different devices that use batteries to create light sources. A portable light increases the light level by one step in an area determined by its model, as follows: flashlight (20- foot cone), lantern (10-foot radius), beacon (50-foot radius), and spotlight (100-foot cone).</p>	Tech	1	25	1	10	1/hour	2	CRB	220
Radiation Badge	<p>Because the invisible danger of radiation can lurk anywhere, dwarven mining consortiums often issue these small apparatuses to those exploring uncharted asteroids. When you are about to enter a square containing any level of radiation and you are wearing a radiation badge, the badge beeps audibly to warn you. A radiation badge is always on and functions for 7 days before it needs to be recharged (much like the environmental protections of a suit of armor with an item level of 1).</p>	Tech	1	100	L	null	See text	null	PWD	198
Restraints, Binders	<p>Binders are simple, single-use, resin-cord restraints that can be placed only on helpless, pinned, or willing creatures (a standard action). A pair of binders immobilizes two limbs of your choice. A creature can escape binders with a successful Acrobatics check (DC = 20 + 1-1/2 × your level).<br/> Manacles are reusable wrist restraints made of hardened metal or ceramics and keyed to open with a security chip, code, or voice command (determined when they are manufactured). Manacles can be placed only on helpless, pinned, or willing creatures (a standard action). Manacles prevent two arms from holding or using any object. A creature can escape manacles with a successful DC 30 Acrobatics check.</p>	Tech	1	5	null	null	null	null	CRB	221
Scanner, Video Camera	<p>Scanners are common items that allow you to extend your senses and record your experiences. Some specialized scanners can also provide other senses, such as blindsense or sense through, but these often require ongoing monitoring or impose other restrictions. Common examples include laser microphones, motion detectors, and x-ray visors (Core Rulebook 220).</p>	Tech	1	275	L	20	2/hour	1	ARM	107
Scorch Suture	<p>This small, handheld medical device looks similar to a soldering iron. You can use it to end the bleeding condition for a target within reach as a standard action, melting the flesh on a cellular level to stanch further blood loss. Unfortunately, the target takes 1 fire damage as a result. A target with any form of fire resistance can’t benefit from a scorch suture.<br/> A scorch suture requires only one hand to operate. It uses a battery, and each use consumes 2 charges.</p>	Tech	1	200	L	20	2	1	DF01	52
Strategy Game, Basic	<p>A staggering variety of board and computer games exists across the galaxy, from venerable board games to singleplayer computer games available on datapads or even comm units. Some are even revered pastimes in specific cultures. Only physical strategy games have bulk; computer games have no bulk but generally consume 1 charge per hour of play.</p>	Tech	1	150	Varies	Varies	Varies	null	ARM	108
Tool Kit, Animal-Trainer’S Kit	<p>In escalating efforts to remain ahead of their competitors, many corporations market specialty tool kits as the latest advances or essential devices. The following tool kits supplement those  presented on page 221 of the Core Rulebook and provide circumstance bonuses to one or more skills in specific situations. These tool kits include the following: animal-trainer’s kit (grants a +4 bonus to Survival checks to handle an animal or rear a wild animal), astrogator’s kit (grants a +4 bonus to Piloting checks to navigate or astrogate), aura-translation kit (grants a +4 bonus to Mysticism checks to identify a magic item), broad-spectrum scanning kit (grants a +4 bonus to Perception checks to search), light-scattering sniper’s blind (grants a +4 bonus to Stealth checks when sniping), mental interpretation kit (grants a +4 bonus to Sense Motive checks to discern a secret message out of combat), personal gravitational redistributor (grants a +4 bonus to Acrobatics checks to balance out of combat), and thieves’ tools (grants a +4 bonus to Computers checks to hack a computer system that controls a door and a +4 bonus to Engineering checks to disable a mechanical or technological lock). When using a thieves’ tools tool kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	ARM	108
Tool Kit, Astrogator’S Kit	<p>In escalating efforts to remain ahead of their competitors, many corporations market specialty tool kits as the latest advances or essential devices. The following tool kits supplement those  presented on page 221 of the Core Rulebook and provide circumstance bonuses to one or more skills in specific situations. These tool kits include the following: animal-trainer’s kit (grants a +4 bonus to Survival checks to handle an animal or rear a wild animal), astrogator’s kit (grants a +4 bonus to Piloting checks to navigate or astrogate), aura-translation kit (grants a +4 bonus to Mysticism checks to identify a magic item), broad-spectrum scanning kit (grants a +4 bonus to Perception checks to search), light-scattering sniper’s blind (grants a +4 bonus to Stealth checks when sniping), mental interpretation kit (grants a +4 bonus to Sense Motive checks to discern a secret message out of combat), personal gravitational redistributor (grants a +4 bonus to Acrobatics checks to balance out of combat), and thieves’ tools (grants a +4 bonus to Computers checks to hack a computer system that controls a door and a +4 bonus to Engineering checks to disable a mechanical or technological lock). When using a thieves’ tools tool kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	ARM	108
Tool Kit, Aura-Translation Kit	<p>In escalating efforts to remain ahead of their competitors, many corporations market specialty tool kits as the latest advances or essential devices. The following tool kits supplement those  presented on page 221 of the Core Rulebook and provide circumstance bonuses to one or more skills in specific situations. These tool kits include the following: animal-trainer’s kit (grants a +4 bonus to Survival checks to handle an animal or rear a wild animal), astrogator’s kit (grants a +4 bonus to Piloting checks to navigate or astrogate), aura-translation kit (grants a +4 bonus to Mysticism checks to identify a magic item), broad-spectrum scanning kit (grants a +4 bonus to Perception checks to search), light-scattering sniper’s blind (grants a +4 bonus to Stealth checks when sniping), mental interpretation kit (grants a +4 bonus to Sense Motive checks to discern a secret message out of combat), personal gravitational redistributor (grants a +4 bonus to Acrobatics checks to balance out of combat), and thieves’ tools (grants a +4 bonus to Computers checks to hack a computer system that controls a door and a +4 bonus to Engineering checks to disable a mechanical or technological lock). When using a thieves’ tools tool kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	ARM	108
Tool Kit, Broad-Spectrum Scanning Kit	<p>In escalating efforts to remain ahead of their competitors, many corporations market specialty tool kits as the latest advances or essential devices. The following tool kits supplement those  presented on page 221 of the Core Rulebook and provide circumstance bonuses to one or more skills in specific situations. These tool kits include the following: animal-trainer’s kit (grants a +4 bonus to Survival checks to handle an animal or rear a wild animal), astrogator’s kit (grants a +4 bonus to Piloting checks to navigate or astrogate), aura-translation kit (grants a +4 bonus to Mysticism checks to identify a magic item), broad-spectrum scanning kit (grants a +4 bonus to Perception checks to search), light-scattering sniper’s blind (grants a +4 bonus to Stealth checks when sniping), mental interpretation kit (grants a +4 bonus to Sense Motive checks to discern a secret message out of combat), personal gravitational redistributor (grants a +4 bonus to Acrobatics checks to balance out of combat), and thieves’ tools (grants a +4 bonus to Computers checks to hack a computer system that controls a door and a +4 bonus to Engineering checks to disable a mechanical or technological lock). When using a thieves’ tools tool kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	ARM	108
Tool Kit, Climbing Kit	<p>Xhinti Holdings, which has corporate offices on Absalom Station and factories on Akiton, produces a line of specialty tool kits that supplement those presented on page 221 of the Starfinder Core Rulebook. Xhinti tool kits include the following: a climbing kit (grants a +4 bonus to Athletics checks when climbing), demolitionist’s kit (grants a +4 bonus to Engineering checks when arming and disarming explosives), linguist’s kit (grants a +4 bonus to Culture checks when deciphering writing), portable weather station (grants a +4 bonus to Survival checks when predicting the weather), starship repair kit (grants a +4 bonus to Engineering checks when repairing the hull of a starship), and survivalist’s kit (grants a +4 bonus to Survival checks when enduring severe weather or living off the land). When using a demolitionist’s kit or starship repair kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	PWD	198
Tool Kit, Demolitionist’S	<p>Xhinti Holdings, which has corporate offices on Absalom Station and factories on Akiton, produces a line of specialty tool kits that supplement those presented on page 221 of the Starfinder Core Rulebook. Xhinti tool kits include the following: a climbing kit (grants a +4 bonus to Athletics checks when climbing), demolitionist’s kit (grants a +4 bonus to Engineering checks when arming and disarming explosives), linguist’s kit (grants a +4 bonus to Culture checks when deciphering writing), portable weather station (grants a +4 bonus to Survival checks when predicting the weather), starship repair kit (grants a +4 bonus to Engineering checks when repairing the hull of a starship), and survivalist’s kit (grants a +4 bonus to Survival checks when enduring severe weather or living off the land). When using a demolitionist’s kit or starship repair kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	PWD	198
Tool Kit, Disguise	<p>A tool kit is a set of specialized tools and devices not worth purchasing individually, but which as a collection are required for a given task or provide a circumstance bonus to certain skill checks. The types of tool kits are: disguise kit (required for Disguise checks to change appearance), engineering kit (Engineering checks without one take a –2 penalty), hacking kit (required for most Computer checks; see page 137 for more information), navigator’s tools (grants a +4 bonus to Survival checks when orienteering), professional’s tools (provides a +4 bonus to Profession checks for one profession), rider’s kit (provides a +4 bonus to Survival checks to ride creatures), and trapsmith’s tools (provides a +4 bonus to Engineering or Mysticism checks to arm or disarm traps).</p>	Tech	1	20	L	null	null	null	CRB	221
Tool Kit, Engineering	<p>A tool kit is a set of specialized tools and devices not worth purchasing individually, but which as a collection are required for a given task or provide a circumstance bonus to certain skill checks. The types of tool kits are: disguise kit (required for Disguise checks to change appearance), engineering kit (Engineering checks without one take a –2 penalty), hacking kit (required for most Computer checks; see page 137 for more information), navigator’s tools (grants a +4 bonus to Survival checks when orienteering), professional’s tools (provides a +4 bonus to Profession checks for one profession), rider’s kit (provides a +4 bonus to Survival checks to ride creatures), and trapsmith’s tools (provides a +4 bonus to Engineering or Mysticism checks to arm or disarm traps).</p>	Tech	1	20	L	null	null	null	CRB	221
Tool Kit, Hacking	<p>A tool kit is a set of specialized tools and devices not worth purchasing individually, but which as a collection are required for a given task or provide a circumstance bonus to certain skill checks. The types of tool kits are: disguise kit (required for Disguise checks to change appearance), engineering kit (Engineering checks without one take a –2 penalty), hacking kit (required for most Computer checks; see page 137 for more information), navigator’s tools (grants a +4 bonus to Survival checks when orienteering), professional’s tools (provides a +4 bonus to Profession checks for one profession), rider’s kit (provides a +4 bonus to Survival checks to ride creatures), and trapsmith’s tools (provides a +4 bonus to Engineering or Mysticism checks to arm or disarm traps).</p>	Tech	1	20	L	null	null	null	CRB	221
Tool Kit, Light-Scattering Sniper’S Blind	<p>In escalating efforts to remain ahead of their competitors, many corporations market specialty tool kits as the latest advances or essential devices. The following tool kits supplement those  presented on page 221 of the Core Rulebook and provide circumstance bonuses to one or more skills in specific situations. These tool kits include the following: animal-trainer’s kit (grants a +4 bonus to Survival checks to handle an animal or rear a wild animal), astrogator’s kit (grants a +4 bonus to Piloting checks to navigate or astrogate), aura-translation kit (grants a +4 bonus to Mysticism checks to identify a magic item), broad-spectrum scanning kit (grants a +4 bonus to Perception checks to search), light-scattering sniper’s blind (grants a +4 bonus to Stealth checks when sniping), mental interpretation kit (grants a +4 bonus to Sense Motive checks to discern a secret message out of combat), personal gravitational redistributor (grants a +4 bonus to Acrobatics checks to balance out of combat), and thieves’ tools (grants a +4 bonus to Computers checks to hack a computer system that controls a door and a +4 bonus to Engineering checks to disable a mechanical or technological lock). When using a thieves’ tools tool kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	ARM	108
Tool Kit, Linguist’S	<p>Xhinti Holdings, which has corporate offices on Absalom Station and factories on Akiton, produces a line of specialty tool kits that supplement those presented on page 221 of the Starfinder Core Rulebook. Xhinti tool kits include the following: a climbing kit (grants a +4 bonus to Athletics checks when climbing), demolitionist’s kit (grants a +4 bonus to Engineering checks when arming and disarming explosives), linguist’s kit (grants a +4 bonus to Culture checks when deciphering writing), portable weather station (grants a +4 bonus to Survival checks when predicting the weather), starship repair kit (grants a +4 bonus to Engineering checks when repairing the hull of a starship), and survivalist’s kit (grants a +4 bonus to Survival checks when enduring severe weather or living off the land). When using a demolitionist’s kit or starship repair kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	PWD	198
Tool Kit, Mental Interpretation Kit	<p>In escalating efforts to remain ahead of their competitors, many corporations market specialty tool kits as the latest advances or essential devices. The following tool kits supplement those  presented on page 221 of the Core Rulebook and provide circumstance bonuses to one or more skills in specific situations. These tool kits include the following: animal-trainer’s kit (grants a +4 bonus to Survival checks to handle an animal or rear a wild animal), astrogator’s kit (grants a +4 bonus to Piloting checks to navigate or astrogate), aura-translation kit (grants a +4 bonus to Mysticism checks to identify a magic item), broad-spectrum scanning kit (grants a +4 bonus to Perception checks to search), light-scattering sniper’s blind (grants a +4 bonus to Stealth checks when sniping), mental interpretation kit (grants a +4 bonus to Sense Motive checks to discern a secret message out of combat), personal gravitational redistributor (grants a +4 bonus to Acrobatics checks to balance out of combat), and thieves’ tools (grants a +4 bonus to Computers checks to hack a computer system that controls a door and a +4 bonus to Engineering checks to disable a mechanical or technological lock). When using a thieves’ tools tool kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	ARM	108
Tool Kit, Navigator's	<p>A tool kit is a set of specialized tools and devices not worth purchasing individually, but which as a collection are required for a given task or provide a circumstance bonus to certain skill checks. The types of tool kits are: disguise kit (required for Disguise checks to change appearance), engineering kit (Engineering checks without one take a –2 penalty), hacking kit (required for most Computer checks; see page 137 for more information), navigator’s tools (grants a +4 bonus to Survival checks when orienteering), professional’s tools (provides a +4 bonus to Profession checks for one profession), rider’s kit (provides a +4 bonus to Survival checks to ride creatures), and trapsmith’s tools (provides a +4 bonus to Engineering or Mysticism checks to arm or disarm traps).</p>	Tech	1	20	L	null	null	null	CRB	221
Tool Kit, Personal Gravitational Redistributor	<p>In escalating efforts to remain ahead of their competitors, many corporations market specialty tool kits as the latest advances or essential devices. The following tool kits supplement those  presented on page 221 of the Core Rulebook and provide circumstance bonuses to one or more skills in specific situations. These tool kits include the following: animal-trainer’s kit (grants a +4 bonus to Survival checks to handle an animal or rear a wild animal), astrogator’s kit (grants a +4 bonus to Piloting checks to navigate or astrogate), aura-translation kit (grants a +4 bonus to Mysticism checks to identify a magic item), broad-spectrum scanning kit (grants a +4 bonus to Perception checks to search), light-scattering sniper’s blind (grants a +4 bonus to Stealth checks when sniping), mental interpretation kit (grants a +4 bonus to Sense Motive checks to discern a secret message out of combat), personal gravitational redistributor (grants a +4 bonus to Acrobatics checks to balance out of combat), and thieves’ tools (grants a +4 bonus to Computers checks to hack a computer system that controls a door and a +4 bonus to Engineering checks to disable a mechanical or technological lock). When using a thieves’ tools tool kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	ARM	108
Tool Kit, Portable Weather Station	<p>Xhinti Holdings, which has corporate offices on Absalom Station and factories on Akiton, produces a line of specialty tool kits that supplement those presented on page 221 of the Starfinder Core Rulebook. Xhinti tool kits include the following: a climbing kit (grants a +4 bonus to Athletics checks when climbing), demolitionist’s kit (grants a +4 bonus to Engineering checks when arming and disarming explosives), linguist’s kit (grants a +4 bonus to Culture checks when deciphering writing), portable weather station (grants a +4 bonus to Survival checks when predicting the weather), starship repair kit (grants a +4 bonus to Engineering checks when repairing the hull of a starship), and survivalist’s kit (grants a +4 bonus to Survival checks when enduring severe weather or living off the land). When using a demolitionist’s kit or starship repair kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	PWD	198
Tool Kit, Professional's	<p>A tool kit is a set of specialized tools and devices not worth purchasing individually, but which as a collection are required for a given task or provide a circumstance bonus to certain skill checks. The types of tool kits are: disguise kit (required for Disguise checks to change appearance), engineering kit (Engineering checks without one take a –2 penalty), hacking kit (required for most Computer checks; see page 137 for more information), navigator’s tools (grants a +4 bonus to Survival checks when orienteering), professional’s tools (provides a +4 bonus to Profession checks for one profession), rider’s kit (provides a +4 bonus to Survival checks to ride creatures), and trapsmith’s tools (provides a +4 bonus to Engineering or Mysticism checks to arm or disarm traps).</p>	Tech	1	20	L	null	null	null	CRB	221
Tool Kit, Rider's	<p>A tool kit is a set of specialized tools and devices not worth purchasing individually, but which as a collection are required for a given task or provide a circumstance bonus to certain skill checks. The types of tool kits are: disguise kit (required for Disguise checks to change appearance), engineering kit (Engineering checks without one take a –2 penalty), hacking kit (required for most Computer checks; see page 137 for more information), navigator’s tools (grants a +4 bonus to Survival checks when orienteering), professional’s tools (provides a +4 bonus to Profession checks for one profession), rider’s kit (provides a +4 bonus to Survival checks to ride creatures), and trapsmith’s tools (provides a +4 bonus to Engineering or Mysticism checks to arm or disarm traps).</p>	Tech	1	20	L	null	null	null	CRB	221
Tool Kit, Starship Repair	<p>Xhinti Holdings, which has corporate offices on Absalom Station and factories on Akiton, produces a line of specialty tool kits that supplement those presented on page 221 of the Starfinder Core Rulebook. Xhinti tool kits include the following: a climbing kit (grants a +4 bonus to Athletics checks when climbing), demolitionist’s kit (grants a +4 bonus to Engineering checks when arming and disarming explosives), linguist’s kit (grants a +4 bonus to Culture checks when deciphering writing), portable weather station (grants a +4 bonus to Survival checks when predicting the weather), starship repair kit (grants a +4 bonus to Engineering checks when repairing the hull of a starship), and survivalist’s kit (grants a +4 bonus to Survival checks when enduring severe weather or living off the land). When using a demolitionist’s kit or starship repair kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	PWD	198
Tool Kit, Survivalist’S	<p>Xhinti Holdings, which has corporate offices on Absalom Station and factories on Akiton, produces a line of specialty tool kits that supplement those presented on page 221 of the Starfinder Core Rulebook. Xhinti tool kits include the following: a climbing kit (grants a +4 bonus to Athletics checks when climbing), demolitionist’s kit (grants a +4 bonus to Engineering checks when arming and disarming explosives), linguist’s kit (grants a +4 bonus to Culture checks when deciphering writing), portable weather station (grants a +4 bonus to Survival checks when predicting the weather), starship repair kit (grants a +4 bonus to Engineering checks when repairing the hull of a starship), and survivalist’s kit (grants a +4 bonus to Survival checks when enduring severe weather or living off the land). When using a demolitionist’s kit or starship repair kit for its specialized purpose, you don’t take the –2 penalty to Engineering checks if you don’t have an engineering kit.</p>	Tech	1	200	L	null	null	null	PWD	198
