id	name	description	long_description	mystic_level	technomancer_level	witchwarper_level	school	casting_time	effect	area	effect_ranges_id	targets	duration	saving_throw	spell_resistance	source	source_page
349	Spider Climb	<p>Grant ability to walk on walls and ceilings.</p>	<p>The target can climb and travel on vertical surfaces or even traverse ceilings as well as a spider does. An affected creature with four limbs must have three limbs free (not holding equipment or being used to perform skills and so on) to climb in this manner. A creature with six limbs needs only four available. In general, other creatures must have 75% of their limbs available to benefit from this spell. The target gains a climb speed of 20 feet (and the +8 racial bonus to Athletics checks to climb granted by that climb speed); furthermore, it doesn&rsquo;t need to attempt Athletics checks to climb to traverse a vertical or horizontal surface (even upside down). An affected creature climbing in this way is not flat-footed while climbing, and opponents get no special bonus to their attacks against it. The creature, however, can&rsquo;t use the run action while climbing.</p>	2	2	null	transmutation	1 standard action	null	null	2	one creature	10 minutes/level	Will negates (harmless)	yes (harmless)	CRB	378
350	Spirit-Bound Armor	<p>A benevolent spirit steadies a creature wearing armor, offsetting flat-footed and off-kilter penalties.</p>	<p>You divert a benevolent spirit from the River of Souls to temporarily inhabit a suit of armor. The spirit steadies the nerves and balance of the creature wearing the armor. If the target becomes flat-footed during the duration, it ignores the penalty to AC that condition imposes. Similarly, the off-kilter condition has no effect on the target while this spell is in effect.</p>	1	null	null	necromancy	1 standard action	null	null	3	one suit of armor	1 round/level	Will (harmless)	yes	COM	141
351	Spirit-Bound Computer	<p>A benevolent spirit inhabits a computer and can make Computers checks you request.</p>	<p>You divert a benevolent spirit from the River of Souls to inhabit a computer. You can communicate with the spirit while you concentrate; the spirit is trained in Computers and can make Computers checks you request with a total bonus equal to 3 + your caster level + your key ability score modifier.</p>	1	null	null	necromancy	1 standard action	null	null	2	one computer system	concentration, up to 1 minute/level	none	yes	COM	142
352	Stabilize	<p>Cause a dying creature to stabilize.</p>	<p>If the target of this spell has 0 Hit Points and is dying, it automatically stabilizes. If the creature later takes damage, it is no longer stable.</p>	0	null	null	conjuration (healing)	1 standard action	null	null	3	one living creature	instantaneous	Will negates (harmless)	yes (harmless)	CRB	378
353	Star Storm	<p>Hailing plasma deals 6d8 electricity damage and 6d8 fire damage to creatures and objects in the area.</p>	<p>Stellar plasma rains down in the area, dealing 6d8 electricity damage and 6d8 fire damage to creatures and objects in the area.</p>	6	null	6	evocation	1 standard action	null	cylinder (40-ft. radius, 40 ft. high)	4	null	instantaneous	Reflex half	yes	COM	142
354	Status	<p>Monitor condition and position of allies.</p>	<p>When you need to keep track of comrades who get separated, status allows you to mentally monitor their relative positions and general conditions. You are aware of the direction of and distance to the creatures and any conditions or states affecting them: confused, diseased, dying, nauseated, panicked, poisoned, staggered, stunned, unconscious, unharmed, wounded, wounded and out of Stamina points, and the like. Once the spell has been cast upon the targets, the distance between them and the caster does not affect the spell as long as they are on the same plane of existence. If a target leaves the plane (including via Drift travel) or dies, the spell ceases to function for that creature.</p>	2	null	2	divination	1 standard action	null	null	2	up to one living creature touched/3 levels	1 hour/level	Will negates (harmless)	yes (harmless)	CRB	379
355	Subjective Reality	<p>You convince yourself one creature or object is an illusion.</p>	<p>Choose one object or creature you can see within long range (400 feet + 40 feet/level). You alter your perceptions to become convinced the target is an illusion. For you, the target becomes transparent and does not create sound or smell. Until the spell ends, you can move through the target unimpeded and the target can move through you. The target&rsquo;s nonmagical attacks can&rsquo;t harm you, and the target&rsquo;s magical attacks deal half damage to you. The target&rsquo;s non-damaging magical abilities have only a 50% chance of affecting you, and you are immune to all its sonic, language-dependent, and scent-based attacks. However, your attacks deal no damage to the target, and your magical abilities don&rsquo;t affect the target at all. You or the target can affect each other normally through intermediaries. For instance, while the target would be immune to the direct effects of your charm monster spell, if you charmed another creature that then attacked the target creature, the target would not be immune to the damage from that attack.</p>	6	null	6	illusion (mind-affecting)	1 standard action	null	null	1	null	1 round/level (D)	null	null	CRB	379
356	Suggestion	<p>Compel a target to follow stated course of action.</p>	<p>You influence the actions of the target creature by suggesting a course of activity (limited to a sentence or two). The suggestion must be worded in such a manner as to make the activity sound reasonable. Asking the creature to do some obviously harmful act automatically negates the effect of the spell.<br />The suggested course of activity can continue for the entire duration of the spell. If the suggested activity can be completed in a shorter time, the spell ends when the target finishes what it was asked to do. You can instead specify conditions that will trigger a special activity during the duration. If the condition is not met before the spell&rsquo;s duration expires, the activity is not performed.<br />A very reasonable suggestion imparts a penalty (such as &ndash;1 or &ndash;2) to the target&rsquo;s saving throw.</p>	3	null	3	enchantment (compulsion, language-dependent, mind-affecting)	1 standard action	null	null	3	one living creature	1 hour/level or until completed	Will negates	yes	CRB	379
357	Suggestion, Mass	<p>Compel one target per level to follow stated course of action.</p>	<p>This spell functions as suggestion, except it can affect more creatures. All of the affected creatures are subject to the same suggestion.</p>	6	null	null	enchantment (compulsion, language-dependent, mind-affecting)	null	null	null	4	up to one creature/level, no two of which can be more than 30 ft. apart	null	null	null	CRB	379
358	Summon Creature	<p>This spell summons an extraplanar creature.</p>	<p>This spell summons an extraplanar creature (typically an elemental, magical beast native to another plane, or outsider, but also occasionally even extraplanar constructs). The summoned creature appears where you designate and acts immediately on your turn. It attacks your opponents to the best of its ability. If you can communicate with the creature, you can direct it to not attack, to attack particular enemies, or to perform other actions.<br />When you gain this spell as a spell known, select four creatures from the appropriate list in Table 8: Summon Creature for each level at which you can cast this spell. For example, for the 1st-level summon creature spell, you could choose Tiny air, earth, fire, and water elementals. Note that a particular alignment or class is sometimes required to choose certain creatures, as listed in Table 8. In place of a single selection, you can choose a creature from a lower-level summoning list; doing so allows you the option of summoning multiple such creatures at a time. Each time you gain a character level, you can change these selections.<br />You can gain summon creature a second time at the highest spell level you know, selecting four additional appropriate creatures at each level you can cast this spell.<br />You choose which of the selected creatures you summon each time you cast the spell.<br />1st: When you cast summon creature as a 1st-level spell, you summon one creature from your selection of creatures from the 1st-level summoning list.<br />2nd: When you cast summon creature as a 2nd-level spell, you summon one creature from your selection of creatures from the 2nd-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />3rd: When you cast summon creature as a 3rd-level spell, you summon one creature from your selection of creatures from the 3rd-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />4th: When you cast summon creature as a 4th-level spell, you summon one creature from your selection of creatures from the 4th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />5th: When you cast summon creature as a 5th-level spell, you summon one creature from your selection of creatures from the 5th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />6th: When you cast summon creature as a 6th-level spell, you summon one creature from your selection of creatures from the 6th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />A summoned creature can&rsquo;t use teleportation or planar travel abilities or magical divination abilities. Creatures can&rsquo;t be summoned into an environment that can&rsquo;t support them (such as summoning a breathing creature into a vacuum). Creatures summoned using this spell can&rsquo;t use spells or spell-like abilities that duplicate spells that require expending Resolve Points or expensive materials to cast (such as raise dead).<br />To generate statistics for a summoned creature, first check the Stat Block column of Table 8: Summon Creature. If a page number is listed, use the creature&rsquo;s stat block on that page, though it is altered slightly depending on your alignment. Otherwise, if the entry is Tiny, Small, Medium, Large, Huge, or elder, use the elemental stat block of the same name and apply the appropriate graft, listed in the Applied Graft column. Non-elemental creatures lose elemental immunities and do not gain an elemental graft. For example, to get the statistics of an angel from the 1st-level list, you use the tiny elemental stat block and apply the angel summoning graft.</p>	1	1	1	conjuration (summoning)	1 round	one or more summoned creatures	null	4	null	1 round/level (D)	none	no	AA1	144
359	Summon Creature	<p>This spell summons an extraplanar creature.</p>	<p>This spell summons an extraplanar creature (typically an elemental, magical beast native to another plane, or outsider, but also occasionally even extraplanar constructs). The summoned creature appears where you designate and acts immediately on your turn. It attacks your opponents to the best of its ability. If you can communicate with the creature, you can direct it to not attack, to attack particular enemies, or to perform other actions.<br />When you gain this spell as a spell known, select four creatures from the appropriate list in Table 8: Summon Creature for each level at which you can cast this spell. For example, for the 1st-level summon creature spell, you could choose Tiny air, earth, fire, and water elementals. Note that a particular alignment or class is sometimes required to choose certain creatures, as listed in Table 8. In place of a single selection, you can choose a creature from a lower-level summoning list; doing so allows you the option of summoning multiple such creatures at a time. Each time you gain a character level, you can change these selections.<br />You can gain summon creature a second time at the highest spell level you know, selecting four additional appropriate creatures at each level you can cast this spell.<br />You choose which of the selected creatures you summon each time you cast the spell.<br />1st: When you cast summon creature as a 1st-level spell, you summon one creature from your selection of creatures from the 1st-level summoning list.<br />2nd: When you cast summon creature as a 2nd-level spell, you summon one creature from your selection of creatures from the 2nd-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />3rd: When you cast summon creature as a 3rd-level spell, you summon one creature from your selection of creatures from the 3rd-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />4th: When you cast summon creature as a 4th-level spell, you summon one creature from your selection of creatures from the 4th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />5th: When you cast summon creature as a 5th-level spell, you summon one creature from your selection of creatures from the 5th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />6th: When you cast summon creature as a 6th-level spell, you summon one creature from your selection of creatures from the 6th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />A summoned creature can&rsquo;t use teleportation or planar travel abilities or magical divination abilities. Creatures can&rsquo;t be summoned into an environment that can&rsquo;t support them (such as summoning a breathing creature into a vacuum). Creatures summoned using this spell can&rsquo;t use spells or spell-like abilities that duplicate spells that require expending Resolve Points or expensive materials to cast (such as raise dead).<br />To generate statistics for a summoned creature, first check the Stat Block column of Table 8: Summon Creature. If a page number is listed, use the creature&rsquo;s stat block on that page, though it is altered slightly depending on your alignment. Otherwise, if the entry is Tiny, Small, Medium, Large, Huge, or elder, use the elemental stat block of the same name and apply the appropriate graft, listed in the Applied Graft column. Non-elemental creatures lose elemental immunities and do not gain an elemental graft. For example, to get the statistics of an angel from the 1st-level list, you use the tiny elemental stat block and apply the angel summoning graft.</p>	2	2	2	conjuration (summoning)	1 round	one or more summoned creatures	null	4	null	1 round/level (D)	none	no	AA1	144
360	Summon Creature	<p>This spell summons an extraplanar creature.</p>	<p>This spell summons an extraplanar creature (typically an elemental, magical beast native to another plane, or outsider, but also occasionally even extraplanar constructs). The summoned creature appears where you designate and acts immediately on your turn. It attacks your opponents to the best of its ability. If you can communicate with the creature, you can direct it to not attack, to attack particular enemies, or to perform other actions.<br />When you gain this spell as a spell known, select four creatures from the appropriate list in Table 8: Summon Creature for each level at which you can cast this spell. For example, for the 1st-level summon creature spell, you could choose Tiny air, earth, fire, and water elementals. Note that a particular alignment or class is sometimes required to choose certain creatures, as listed in Table 8. In place of a single selection, you can choose a creature from a lower-level summoning list; doing so allows you the option of summoning multiple such creatures at a time. Each time you gain a character level, you can change these selections.<br />You can gain summon creature a second time at the highest spell level you know, selecting four additional appropriate creatures at each level you can cast this spell.<br />You choose which of the selected creatures you summon each time you cast the spell.<br />1st: When you cast summon creature as a 1st-level spell, you summon one creature from your selection of creatures from the 1st-level summoning list.<br />2nd: When you cast summon creature as a 2nd-level spell, you summon one creature from your selection of creatures from the 2nd-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />3rd: When you cast summon creature as a 3rd-level spell, you summon one creature from your selection of creatures from the 3rd-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />4th: When you cast summon creature as a 4th-level spell, you summon one creature from your selection of creatures from the 4th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />5th: When you cast summon creature as a 5th-level spell, you summon one creature from your selection of creatures from the 5th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />6th: When you cast summon creature as a 6th-level spell, you summon one creature from your selection of creatures from the 6th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />A summoned creature can&rsquo;t use teleportation or planar travel abilities or magical divination abilities. Creatures can&rsquo;t be summoned into an environment that can&rsquo;t support them (such as summoning a breathing creature into a vacuum). Creatures summoned using this spell can&rsquo;t use spells or spell-like abilities that duplicate spells that require expending Resolve Points or expensive materials to cast (such as raise dead).<br />To generate statistics for a summoned creature, first check the Stat Block column of Table 8: Summon Creature. If a page number is listed, use the creature&rsquo;s stat block on that page, though it is altered slightly depending on your alignment. Otherwise, if the entry is Tiny, Small, Medium, Large, Huge, or elder, use the elemental stat block of the same name and apply the appropriate graft, listed in the Applied Graft column. Non-elemental creatures lose elemental immunities and do not gain an elemental graft. For example, to get the statistics of an angel from the 1st-level list, you use the tiny elemental stat block and apply the angel summoning graft.</p>	3	3	3	conjuration (summoning)	1 round	one or more summoned creatures	null	4	null	1 round/level (D)	none	no	AA1	144
361	Summon Creature	<p>This spell summons an extraplanar creature.</p>	<p>This spell summons an extraplanar creature (typically an elemental, magical beast native to another plane, or outsider, but also occasionally even extraplanar constructs). The summoned creature appears where you designate and acts immediately on your turn. It attacks your opponents to the best of its ability. If you can communicate with the creature, you can direct it to not attack, to attack particular enemies, or to perform other actions.<br />When you gain this spell as a spell known, select four creatures from the appropriate list in Table 8: Summon Creature for each level at which you can cast this spell. For example, for the 1st-level summon creature spell, you could choose Tiny air, earth, fire, and water elementals. Note that a particular alignment or class is sometimes required to choose certain creatures, as listed in Table 8. In place of a single selection, you can choose a creature from a lower-level summoning list; doing so allows you the option of summoning multiple such creatures at a time. Each time you gain a character level, you can change these selections.<br />You can gain summon creature a second time at the highest spell level you know, selecting four additional appropriate creatures at each level you can cast this spell.<br />You choose which of the selected creatures you summon each time you cast the spell.<br />1st: When you cast summon creature as a 1st-level spell, you summon one creature from your selection of creatures from the 1st-level summoning list.<br />2nd: When you cast summon creature as a 2nd-level spell, you summon one creature from your selection of creatures from the 2nd-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />3rd: When you cast summon creature as a 3rd-level spell, you summon one creature from your selection of creatures from the 3rd-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />4th: When you cast summon creature as a 4th-level spell, you summon one creature from your selection of creatures from the 4th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />5th: When you cast summon creature as a 5th-level spell, you summon one creature from your selection of creatures from the 5th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />6th: When you cast summon creature as a 6th-level spell, you summon one creature from your selection of creatures from the 6th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />A summoned creature can&rsquo;t use teleportation or planar travel abilities or magical divination abilities. Creatures can&rsquo;t be summoned into an environment that can&rsquo;t support them (such as summoning a breathing creature into a vacuum). Creatures summoned using this spell can&rsquo;t use spells or spell-like abilities that duplicate spells that require expending Resolve Points or expensive materials to cast (such as raise dead).<br />To generate statistics for a summoned creature, first check the Stat Block column of Table 8: Summon Creature. If a page number is listed, use the creature&rsquo;s stat block on that page, though it is altered slightly depending on your alignment. Otherwise, if the entry is Tiny, Small, Medium, Large, Huge, or elder, use the elemental stat block of the same name and apply the appropriate graft, listed in the Applied Graft column. Non-elemental creatures lose elemental immunities and do not gain an elemental graft. For example, to get the statistics of an angel from the 1st-level list, you use the tiny elemental stat block and apply the angel summoning graft.</p>	4	4	4	conjuration (summoning)	1 round	one or more summoned creatures	null	4	null	1 round/level (D)	none	no	AA1	144
362	Summon Creature	<p>This spell summons an extraplanar creature.</p>	<p>This spell summons an extraplanar creature (typically an elemental, magical beast native to another plane, or outsider, but also occasionally even extraplanar constructs). The summoned creature appears where you designate and acts immediately on your turn. It attacks your opponents to the best of its ability. If you can communicate with the creature, you can direct it to not attack, to attack particular enemies, or to perform other actions.<br />When you gain this spell as a spell known, select four creatures from the appropriate list in Table 8: Summon Creature for each level at which you can cast this spell. For example, for the 1st-level summon creature spell, you could choose Tiny air, earth, fire, and water elementals. Note that a particular alignment or class is sometimes required to choose certain creatures, as listed in Table 8. In place of a single selection, you can choose a creature from a lower-level summoning list; doing so allows you the option of summoning multiple such creatures at a time. Each time you gain a character level, you can change these selections.<br />You can gain summon creature a second time at the highest spell level you know, selecting four additional appropriate creatures at each level you can cast this spell.<br />You choose which of the selected creatures you summon each time you cast the spell.<br />1st: When you cast summon creature as a 1st-level spell, you summon one creature from your selection of creatures from the 1st-level summoning list.<br />2nd: When you cast summon creature as a 2nd-level spell, you summon one creature from your selection of creatures from the 2nd-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />3rd: When you cast summon creature as a 3rd-level spell, you summon one creature from your selection of creatures from the 3rd-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />4th: When you cast summon creature as a 4th-level spell, you summon one creature from your selection of creatures from the 4th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />5th: When you cast summon creature as a 5th-level spell, you summon one creature from your selection of creatures from the 5th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />6th: When you cast summon creature as a 6th-level spell, you summon one creature from your selection of creatures from the 6th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />A summoned creature can&rsquo;t use teleportation or planar travel abilities or magical divination abilities. Creatures can&rsquo;t be summoned into an environment that can&rsquo;t support them (such as summoning a breathing creature into a vacuum). Creatures summoned using this spell can&rsquo;t use spells or spell-like abilities that duplicate spells that require expending Resolve Points or expensive materials to cast (such as raise dead).<br />To generate statistics for a summoned creature, first check the Stat Block column of Table 8: Summon Creature. If a page number is listed, use the creature&rsquo;s stat block on that page, though it is altered slightly depending on your alignment. Otherwise, if the entry is Tiny, Small, Medium, Large, Huge, or elder, use the elemental stat block of the same name and apply the appropriate graft, listed in the Applied Graft column. Non-elemental creatures lose elemental immunities and do not gain an elemental graft. For example, to get the statistics of an angel from the 1st-level list, you use the tiny elemental stat block and apply the angel summoning graft.</p>	5	5	5	conjuration (summoning)	1 round	one or more summoned creatures	null	4	null	1 round/level (D)	none	no	AA1	144
363	Summon Creature	<p>This spell summons an extraplanar creature.</p>	<p>This spell summons an extraplanar creature (typically an elemental, magical beast native to another plane, or outsider, but also occasionally even extraplanar constructs). The summoned creature appears where you designate and acts immediately on your turn. It attacks your opponents to the best of its ability. If you can communicate with the creature, you can direct it to not attack, to attack particular enemies, or to perform other actions.<br />When you gain this spell as a spell known, select four creatures from the appropriate list in Table 8: Summon Creature for each level at which you can cast this spell. For example, for the 1st-level summon creature spell, you could choose Tiny air, earth, fire, and water elementals. Note that a particular alignment or class is sometimes required to choose certain creatures, as listed in Table 8. In place of a single selection, you can choose a creature from a lower-level summoning list; doing so allows you the option of summoning multiple such creatures at a time. Each time you gain a character level, you can change these selections.<br />You can gain summon creature a second time at the highest spell level you know, selecting four additional appropriate creatures at each level you can cast this spell.<br />You choose which of the selected creatures you summon each time you cast the spell.<br />1st: When you cast summon creature as a 1st-level spell, you summon one creature from your selection of creatures from the 1st-level summoning list.<br />2nd: When you cast summon creature as a 2nd-level spell, you summon one creature from your selection of creatures from the 2nd-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />3rd: When you cast summon creature as a 3rd-level spell, you summon one creature from your selection of creatures from the 3rd-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />4th: When you cast summon creature as a 4th-level spell, you summon one creature from your selection of creatures from the 4th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />5th: When you cast summon creature as a 5th-level spell, you summon one creature from your selection of creatures from the 5th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />6th: When you cast summon creature as a 6th-level spell, you summon one creature from your selection of creatures from the 6th-level summoning list. If the chosen creature is from a lower-level summoning list, you summon three such creatures instead.<br />A summoned creature can&rsquo;t use teleportation or planar travel abilities or magical divination abilities. Creatures can&rsquo;t be summoned into an environment that can&rsquo;t support them (such as summoning a breathing creature into a vacuum). Creatures summoned using this spell can&rsquo;t use spells or spell-like abilities that duplicate spells that require expending Resolve Points or expensive materials to cast (such as raise dead).<br />To generate statistics for a summoned creature, first check the Stat Block column of Table 8: Summon Creature. If a page number is listed, use the creature&rsquo;s stat block on that page, though it is altered slightly depending on your alignment. Otherwise, if the entry is Tiny, Small, Medium, Large, Huge, or elder, use the elemental stat block of the same name and apply the appropriate graft, listed in the Applied Graft column. Non-elemental creatures lose elemental immunities and do not gain an elemental graft. For example, to get the statistics of an angel from the 1st-level list, you use the tiny elemental stat block and apply the angel summoning graft.</p>	6	6	6	conjuration (summoning)	1 round	one or more summoned creatures	null	4	null	1 round/level (D)	none	no	AA1	144
364	Summon Drift Beacons	<p>6th - Conjure Drift beacons to facilitate starship travel.</p>	<p>You conjure several Drift beacons into your current star system. The beacons appear orbiting the star or stars at various distances but are not in danger of colliding with any other celestial bodies. For the duration of the spell, the system takes 2d6 fewer days to reach for the purposes of Drift travel to that system, to a minimum of 1 day. This reduction is factored in before dividing the result by a Drift engine&rsquo;s rating, and a system can benefit from only one casting of this spell at a time. The beacons return to where they came from when the spell ends.<br />This spell has no effect if cast while not in a star system or while within the Drift, and it does not reduce the time it takes to travel to Absalom Station.</p>	6	6	6	conjuration (summoning)	1 hour	null	null	7	null	1 day/level	none	no	NSP	157
365	Supercharge Armor	<p>2nd - Charge armor to increase its protective value for a short period of time.</p>	<p>You supercharge the target armor. The armor&rsquo;s hardness doubles; the armor sheds light in a 20-foot radius, increasing the light level 1 step to a maximum of normal light; and the creature wearing the armor gains temporary Hit Points equal to 5 + your caster level as long as it wears the armor.</p>	null	2	null	abjuration	1 standard action	null	null	2	null	1 round/level	none	no	NSP	157
366	Supercharge Weapon	<p>Touched weapon deals extra damage.</p>	<p>You supercharge the target weapon. If the weapon&rsquo;s next attack hits (provided it is made before the end of the next round), the attack deals 4d6 additional damage if the weapon is a single target attack or 2d6 additional damage if the weapon attacks all creatures in an area. This bonus damage is of the same type as the weapon&rsquo;s normal damage.</p>	null	1	null	evocation	1 standard action	null	null	2	one weapon	see text	none	no	CRB	379
367	Sympathetic Vibration	<p>Deal 2d10 damage per round to freestanding structure.</p>	<p>By attuning yourself to a freestanding structure or vehicle (this doesn&rsquo;t include starships), you can create a damaging vibration within it. Once it begins, the vibration deals 2d10 sonic damage per round to the target, bypassing hardness. You can choose at the time of casting to limit the duration of the spell; otherwise, it lasts for 1 round per level. If the spell is cast upon a target that is not freestanding, the surrounding material dissipates the effect and no damage occurs.<br />Sympathetic vibration can&rsquo;t affect creatures (even if they are constructs).</p>	null	6	null	evocation (sonic)	10 minutes	null	null	2	one freestanding structure or vehicle	up to 1 round/level	none	yes	CRB	379
368	Synapse Overload	<p>Target takes 18d8 damage and is staggered for 1 minute.</p>	<p>To affect the target, you must hit with a melee attack against its EAC; you can add your key ability score modifier to this attack roll instead of your Strength modifier if it is higher. You then overload the target&rsquo;s mind, causing the target&rsquo;s synapses to violently trigger. The target takes 18d8 damage and is staggered for 1 minute. A target can negate the staggered effect with a successful Fortitude saving throw, but still takes full damage.<br />Casting this spell doesn&rsquo;t provoke attacks of opportunity.</p>	null	5	null	divination (mind-affecting)	1 standard action	null	null	2	one living creature	instantaneous	Fortitude partial	yes	CRB	380
369	Synaptic Pulse	<p>Stun all creatures within 20 feet for 1 round.</p>	<p>You stun all creatures in range for 1 round.</p>	3	null	null	enchantment (compulsion, mind-affecting)	1 standard action	null	20-ft.-radius spread centered on you	15	null	1 round	Will negates	yes	CRB	380
370	Synaptic Pulse, Greater	<p>Stun all creatures within 20 feet for 1d4 rounds.</p>	<p>You stun all creatures in range for 1d4 rounds. With a successful Will saving throw, a creature is instead sickened for 1 round.</p>	5	null	null	enchantment (compulsion, mind-affecting)	1 standard action	null	20-ft.-radius spread centered on you	15	null	1d4 rounds	Will partial	yes	CRB	380
371	Telekinesis	<p>Move an object, attack creatures, or hurl objects or creatures with your mind.</p>	<p>You move objects or creatures by concentrating on them. Depending on your desired effect (choose one from below), the spell can perform a variety of combat maneuvers, provide a gentle, sustained force, or exert a single short, violent thrust.<br /><strong>Combat Maneuver:</strong>&nbsp;Once per round, you can use telekinesis to perform a ranged attack that acts as a bull rush, disarm, grapple (including pin), or trip combat maneuver. Resolve these attempts as normal, but use your caster level plus your key ability score modifier as your attack bonus. No saving throw is allowed against these attempts, but spell resistance applies normally. This version of the spell can last 1 round per caster level, but it ends if you cease concentrating.<br /><strong>Sustained Force:</strong>&nbsp;A sustained force moves an object of no more than 25 pounds or 2 bulk per caster level up to 20 feet per round in any direction (including up or down). A creature can negate the effect on an object it holds with a successful Will save or with spell resistance. This version of the spell lasts 1 round per caster level, but it ends if you cease concentrating. The spell ends if the object is forced beyond the spell&rsquo;s range.<br />You can telekinetically manipulate an object as if with one hand. For example, a lever can be pulled, a key turned, a button pushed, an object rotated, and so on if the force required is within the weight limitation. You might even be able to untie simple knots, though a delicate activity such as this requires a successful DC 15 Intelligence check.<br /><strong>Violent Thrust:</strong>&nbsp;The spell energy can be spent in a single round. You can hurl up to 15 objects or creatures that are within range (no two of which can be more than 10 feet apart) toward any target within 150 feet of all the objects. You can hurl up to a total weight of 400 pounds or 40 bulk. You must make attack rolls (one per creature or object thrown) to hit the target with the items, using your base attack bonus plus your key ability score modifier as your attack bonus. All objects cause damage ranging from 1 damage per 25 pounds or 2 bulk (for less dangerous objects) to 1d10 damage per 25 pounds or 2 bulk (for extremely dangerous objects, such as weapons or bladed or spiked objects). Objects and creatures that miss the target land in a square adjacent to the target. Creatures that fall within the weight capacity of the spell can be hurled, but they can attempt Will saving throws (or rely on spell resistance) to negate the effect, as can those whose held possessions are targeted by the spell. If a thrown creature is hurled against a solid surface, it takes 1d6 damage as if it had fallen 10 feet.</p>	null	5	null	transmutation	1 standard action	null	null	5	see text	concentration (up to 1 round/level) or instantaneous; see text	none, Will negates (object), see text;	yes (object), see text	CRB	380
372	Telekinetic Projectile	<p>Telekinetically hurl an object, dealing 1d6 damage to the target and object.</p>	<p>You fling an object weighing up to 5 pounds (less than 1 bulk) at the target, making a ranged attack against its KAC. If you hit, you deal 1d6 bludgeoning damage to both the target and the object. The type of object thrown doesn&rsquo;t change the damage type or any other properties of the attack.</p>	0	null	null	evocation	1 standard action	null	null	3	one object and one creature	instantaneous	none	no	CRB	380
373	Telepathic Bond	<p>Link allows allies to communicate.</p>	<p>You forge a telepathic bond between yourself and a number of willing creatures, each of which must have an Intelligence score of 3 or higher (or a modifier of &ndash;4 or higher). Each creature included in the link is linked to all the others. The creatures can communicate telepathically through the bond regardless of language. No special power or influence is established as a result of the bond. Once the bond is formed, it works over any distance (although not from one plane to another).<br />If desired, you can leave yourself out of the telepathic bond forged. This decision must be made at the time of casting.</p>	4	null	null	divination	1 standard action	null	null	3	you plus up to one willing creature per 3 levels, no two of which can be more than 30 ft. apart	10 minutes/level (D)	none	no	CRB	381
